trial,lr,weight_decay,rotation_deg,batch_size,val_acc,val_med_iou,val_ang_err,secs
1,0.0011973917635685037,0.0002607024758370766,30,16,0.94,0.4451749216292444,5.784880128244124,232.4588828086853
3,0.000857415319742081,0.00037183641805732076,45,32,0.93,0.4541855240685406,6.428290995132361,239.95921206474304
8,0.0005728695840313613,0.00012172847081122418,30,16,0.89,0.4362263031461727,5.3026131678687785,250.48174905776978
6,0.00105640764164036,2.3426581058204037e-05,15,64,0.88,0.4482919219090697,6.104613768514746,241.87420678138733
4,0.00034847597967739357,0.000790261954970823,15,32,0.87,0.4525764061003117,5.2136915196234614,236.2924838066101
9,0.00030383889771994457,0.0004274869455295214,45,32,0.87,0.41678845677940113,5.253343673697266,254.55067205429077
2,0.0006044543365247595,0.00011207606211860574,45,64,0.86,0.4090778522146145,5.945970196532355,220.77467799186707
5,0.0003973374402029808,9.7803370166594e-05,30,16,0.85,0.4033169749369143,5.99264410019417,226.9977729320526
0,0.0007106591851092234,0.0007969454818643932,15,64,0.83,0.41304228697456125,5.486576738989167,226.70714783668518
10,0.002331308778892056,1.028002961790561e-05,30,16,0.79,0.374939677972984,7.367079855017493,298.4724018573761
7,0.0003678017207756257,2.4658447214487366e-05,45,32,0.66,0.29895238182273765,5.738832427693065,255.0561490058899
